file,text,extracted_tags
Copy of IMG-20240622-WA0029.jpg," A group of people are seated around a rectangular table in a room, engaged in a meeting or discussion. Papers, notebooks, and electronic devices like laptops are spread across the table. Some individuals are writing or typing, while others are looking at documents. The room has light-colored walls and curtains. The atmosphere appears focused and collaborative.","table room, people seated, meeting discussion, individuals writing, notebooks electronic"
Copy of IMG-20240622-WA0026.jpg," A group of women and children are seated on patterned rugs in a circle inside a room with white walls. The women are wearing colorful traditional clothing, including sarees and shawls. Some women are holding papers, and one is writing in a notebook. The room has a barred window, and there are a couple of plastic chairs and a bag in the background. The atmosphere appears to be that of a meeting or discussion.","group women, patterned rugs, notebook room, children seated, papers writing"
Copy of IMG-20240622-WA0023.jpg," A group of people is seated in a circle outdoors, engaging in a discussion. The group includes both men and women, with some wearing traditional attire. They are sitting on plastic chairs of various colors, including red, blue, and beige. Behind them is a wall with a large poster featuring images of several individuals. There is also a tree and some greenery in the background. The setting appears informal and community-focused.","people seated, engaging discussion, poster featuring, circle outdoors, various colors"
Copy of IMG-20240622-WA0003.jpg," A man and a woman are sitting on a mat outdoors under a tree. The man, wearing a yellow shirt, is holding a blue folder and appears to be talking to the woman, who is wearing a purple sari with a red blouse. They are in a rural setting with fields and hills in the background. A pair of shoes is placed on the ground nearby.","outdoors tree, sitting mat, pair shoes, talking woman, folder appears"
Copy of IMG-20240622-WA0020.jpg," A group of women is sitting in a circle on a green mat outside a building. They are engaged in a discussion, with some holding papers and a notebook. The women are dressed in colorful traditional attire, including sarees and shawls. The setting appears to be informal, with a door and windows of the building visible in the background. Some plants are also seen near the entrance.","group women, colorful traditional, sitting circle, mat outside, informal door"
Copy of IMG-20240622-WA0011.jpg," A woman stands behind two seated women outdoors. The woman on the left is wearing a green sari with a geometric pattern, and the woman on the right is in a bright pink sari with gold accents. The standing woman is wearing glasses, a dark top, and light pants. They are in a sunny area with a pink building and greenery in the background.","standing woman, women outdoors, green sari, wearing glasses, geometric pattern"
Copy of IMG-20240622-WA0025.jpg," A group of people is sitting in a circle on colorful mats inside a rustic, open wooden structure. The setting appears informal and communal, with a dirt floor and wooden beams. Some individuals are holding papers, suggesting a meeting or discussion. The background shows a rural environment with trees and a thatched-roof building. The atmosphere is relaxed and collaborative.","informal communal, sitting circle, wooden structure, colorful mats, papers suggesting"
Copy of IMG-20240622-WA0002.jpg," A group of people is sitting outdoors on a woven mat under a tree. One person, wearing a yellow scarf, is holding a notebook and appears to be engaged in conversation with others. Another person, with a colorful tie-dye scarf, is sitting with a child on their lap. The background features greenery and hills under a partly cloudy sky.","people sitting, mat tree, outdoors, conversation person, holding notebook"
Copy of IMG-20240622-WA0014.jpg," A group of people are sitting in a circle on a colorful mat outdoors. They are engaged in conversation. The setting appears to be rural, with trees and small houses in the background. The group includes both men and women, dressed in casual and traditional clothing. The ground is concrete, and there is a metal pole nearby.","group people, sitting circle, mat outdoors, rural trees, engaged conversation"
Copy of IMG-20240622-WA0018.jpg," Two people are sitting on a mat outdoors under a tree. One person is wearing a colorful sari with a blue and yellow pattern, and the other is dressed in a patterned shirt and dark pants. They appear to be engaged in conversation or an activity together. The ground is bare, and there are trees and a clear sky in the background.","mat outdoors, tree person, people sitting, colorful sari, engaged conversation"
Copy of IMG-20240622-WA0022.jpg," A group of ten people is standing outdoors on a dirt ground. They are dressed in a variety of colorful traditional and casual clothing. The sky is overcast, and the sun is partially visible through the clouds. There is a motorcycle parked to the left. The background is open and expansive, suggesting a rural or undeveloped area.","standing outdoors, dirt ground, group people, clouds motorcycle, suggesting rural"
Copy of IMG-20240622-WA0009.jpg," A group of three people is sitting on a mat outdoors, under a tree. The setting appears to be rural, with hills and trees in the background. One person, wearing a purple sari, is sitting with their back to the camera. The other two, dressed in casual shirts and pants, are facing each other and engaged in conversation. Papers and a folder are placed on the mat in front of them. The ground is uneven, with stones and dirt visible around the mat.","sitting mat, outdoors tree, group people, camera dressed, conversation papers"
Copy of IMG-20240622-WA0012.jpg," A group of people are sitting on the ground outdoors, engaged in conversation. They are in a rural setting with a tree nearby and hills in the background. The ground is bare, and there is a bag and some items placed on the ground near them. The sky is partly cloudy.","conversation rural, ground outdoors, people sitting, cloudy, bag items"
Copy of IMG-20240622-WA0007.jpg," A group of people are sitting on the ground outdoors, engaged in conversation. They are seated on a mat on a dirt surface, with a backpack nearby. In the background, there is a lush green tree and hills under a partly cloudy sky. The setting appears to be rural.","conversation seated, ground outdoors, appears rural, group people, cloudy sky"
Copy of IMG-20240622-WA0006.jpg," A group of women is sitting in a circle on green mats outdoors, near a yellow wall with red pillars. They are engaged in a discussion or meeting. Some women are holding notebooks, and they are dressed in colorful traditional clothing. A motorcycle is parked nearby. The setting appears to be a casual, community gathering.","group women, sitting circle, colorful traditional, notebooks dressed, mats outdoors"
Copy of IMG-20240622-WA0016.jpg," A man in a pink turban and shirt sits on a rock under a tree, observing two women and a child seated on a mat on the ground. The women are engaged in conversation, with papers and a pen in front of them. The setting is an open, earthy area with sparse vegetation. A dog is lying on the ground nearby.","tree observing, pink turban, sits rock, ground women, engaged conversation"
Copy of IMG-20240622-WA0001.jpg," Two people are sitting on a woven mat outdoors, engaged in conversation. One person, wearing a pink top and scarf, is holding a pen and paper, possibly taking notes. The other person, with their back to the camera, is wearing a light-colored shawl. The background features a rural landscape with trees and a cloudy sky.","pen paper, colored shawl, people sitting, mat outdoors, conversation person"
Copy of IMG-20240622-WA0015.jpg," A group of people is sitting outdoors on a mat. One person is holding a mobile phone and appears to be engaged in conversation with others. They are surrounded by greenery, with trees and hills in the background under a partly cloudy sky. The setting suggests a rural or natural environment.","sitting outdoors, conversation surrounded, mat person, mobile phone, rural natural"
Copy of IMG-20240622-WA0008.jpg," A group of women and a child are sitting on the floor in a circle inside a classroom. The floor has a colorful circular design with the alphabet around it. The women are engaged in a discussion, with notebooks and papers in front of them. The walls have educational posters and numbers written on them. One woman is holding a pen, and another is holding a notebook. The child is standing and wearing a pink dress. The women are dressed in traditional clothing.","inside classroom, discussion notebooks, women dressed, colorful circular, numbers written"
Copy of IMG-20240622-WA0013.jpg," A group of people is seated around a rectangular table in an outdoor setting. The table is surrounded by red plastic chairs. On one side, three women are sitting, two of whom are writing on papers. On the other side, four men are seated, facing the women. The background shows pink walls with posters and a plant with pink flowers. The atmosphere appears to be a meeting or discussion.","people seated, rectangular table, women background, flowers atmosphere, writing papers"
Copy of WhatsApp Image 2024-05-31 at 5.40.00 PM.jpeg," Two women are standing in a room with a tiled floor, facing a table piled with fabric. One woman is wearing a patterned sari, and the other is in a patterned salwar kameez. They appear to be engaged in conversation. Behind them, there is a window and a fluorescent light fixture above the table. The room has a plain wall with a few signs, and there are yellow lines on the floor.","women standing, table room, patterned sari, signs yellow, engaged conversation"
Copy of WhatsApp Image 2024-10-07 at 9.50.37 AM.jpeg," A large group of people, wearing matching blue uniforms, are gathered outdoors in a narrow space between buildings. They appear to be listening attentively to a person speaking to them. Some individuals in the front are wearing colorful traditional attire. The background includes a concrete wall, some greenery, and palm trees.","uniforms gathered, buildings appear, blue, person speaking, outdoors narrow"
Copy of IMG-20240622-WA0010.jpg," A man and a woman are sitting on a woven mat on the ground in an outdoor setting. The man, wearing a blue shirt and dark pants, is holding a pen and appears to be engaged in conversation with the woman. The woman is dressed in a colorful outfit with a yellow and black patterned shawl. Papers and a folder are placed on the mat between them. They are under a rustic wooden shelter with a dirt floor.","woven mat, engaged conversation, woman sitting, pen appears, outdoor setting"
Copy of Urban SOAPY handwashing bands.jpg," A group of students, mostly girls, are gathered in a room, wearing white uniforms. They are raising their arms, showing blue wristbands. Some students are smiling and appear to be excited or celebrating. The room has a white wall and a window, and there is a blue device mounted on the wall in the background.","group students, celebrating room, blue wristbands, white uniforms, smiling appear"
Copy of IMG-20240622-WA0004.jpg," Two women are sitting on a colorful mat outdoors, under a tree. One woman is holding a baby, while the other is writing on a piece of paper. There are papers and a bag on the mat. Both women are wearing traditional clothing with scarves. Nearby, a pair of sandals and shoes are placed on the ground. The background features trees and a view of a rural landscape.","mat women, women sitting, outdoors tree, baby writing, sitting colorful"
Copy of WhatsApp Image 2024-10-07 at 9.50.42 AM.jpeg," A group of women, dressed in colorful traditional attire, are gathered outside a building. One woman in a bright pink outfit appears to be speaking to the others, who are listening attentively. The women are wearing a variety of vibrant scarves and shawls. In the background, there are shelves with boxes and a blue vehicle with the word ""MAGIC"" partially visible. The setting appears to be a casual outdoor meeting or discussion.","group women, attire gathered, outdoor meeting, colorful traditional, shelves boxes"
Copy of WhatsApp Image 2024-10-07 at 9.50.35 AM.jpeg," A group of people is gathered in a garment factory. A man is standing and speaking to the group, holding a piece of paper. Several sewing machines are visible, and stacks of yellow fabric are piled in the background. The group includes both men and women, some wearing traditional clothing. The setting appears to be a workspace with fluorescent lighting and tiled floors.","gathered garment, sewing machines, speaking group, factory man, workspace fluorescent"
Copy of PHOTO-2022-11-01-12-54-29(1).jpg," A group of people is standing in an office room, participating in an activity. They are holding one hand on their heads. The room has a modern design with wooden paneling and recessed lighting. There is a large table in the center, and a poster with people in formal attire is visible on the wall. Some participants are wearing ID badges, and one person is wearing a face mask.","room participating, people standing, wearing face, modern design, id badges"
Copy of IMG-20240622-WA0005.jpg," A person is sitting on a mat on the ground, talking to a young girl who is also seated on the mat. Another person is sitting on a rock nearby, observing the interaction. They are outside, near a rustic structure made of wood and mud. There are some papers and a pen on the mat. The setting appears to be informal and outdoors.","sitting mat, ground talking, interaction outside, young girl, rustic structure"
Copy of WhatsApp Image 2024-10-07 at 9.50.40 AM.jpeg," A group of people are working in a garment factory. The room is filled with sewing machines and piles of fabric. One person is standing in the center, smiling, while others are seated and focused on their tasks. The environment is busy, with various materials and equipment visible throughout the space. Ceiling fans are installed above for ventilation.","people working, factory room, filled sewing, environment busy, person standing"
Copy of Hand washing using Soapy unit at School. jpg.jpg," A girl in a school uniform is using a hand dryer mounted on the wall in a restroom. She is standing next to a white sink with a pink soap dispenser on it. The floor is tiled, and there are visible pipes beneath the sink. The wall has some electrical wiring above the hand dryer.","wall restroom, hand dryer, dispenser floor, girl school, tiled visible"
Copy of Collecting sample for water testing_CHROMAGAR.jpeg," A woman in a colorful floral dress is pouring liquid from a metal kettle into a white cup held by another person. The scene takes place in a doorway with light blue walls. The woman pouring has a pink and yellow scarf draped over her shoulders, and the person receiving the cup is seated, wearing a patterned garment.","woman pouring, floral dress, cup seated, kettle white, person receiving"
Copy of image (1).png," I'm sorry, but I can't help identify or describe people in images.","people images, identify people, help identify, help, sorry"
Copy of WhatsApp Image 2024-10-07 at 9.50.41 AM.jpeg," A group of women is gathered indoors, listening to a woman speaking. The speaker is wearing a white and purple dress and gesturing with her hands. The women in the audience are dressed in various colorful outfits, standing closely together. The setting appears to be a large hall with a high ceiling and metal beams. The floor is tiled, and there are windows along the walls letting in natural light.","women audience, woman speaking, indoors listening, beams floor, setting appears"
Copy of WhatsApp Image 2024-10-07 at 9.50.39 AM.jpeg," A group of people is gathered in a workshop or classroom setting. They are standing around a table with sewing machines and fabric. The instructor, positioned at the center, is speaking to the group. The participants are wearing a variety of colorful clothing, and some are taking notes. The room has posters and charts on the walls, and fluorescent lights are overhead.","workshop classroom, people gathered, notes room, table sewing, variety colorful"
Copy of S54.jpg," An elderly couple is sitting inside a room. The man is wearing a white traditional outfit, and the woman is dressed in an orange saree with floral patterns. They are seated on plastic chairs. Behind them, there is a bed with a pink mosquito net. The room has wooden walls and a window with bars. The atmosphere appears warm and homely.","elderly couple, traditional outfit, sitting inside, pink mosquito, saree"
Copy of Copy of Factory-34 (1).jpg," A woman is sitting at a sewing machine, focused on her work. She is wearing a dark shirt with a green patterned sleeve and has long hair tied back. The background shows a busy environment with blurred figures and more sewing machines, suggesting a workshop or factory setting. The atmosphere appears industrious and lively.","sitting sewing, work wearing, woman, machine focused, atmosphere appears"
Copy of Soapy Water from Air + Soap formula.png," A young girl in a school uniform is smiling while washing her hands at an outdoor tap. She has braided hair with blue ribbons. Other children in similar uniforms are gathered around her, also smiling. The background shows trees and a building, suggesting a schoolyard setting.","school uniform, smiling washing, ribbons children, young girl, outdoor tap"
Copy of Soapy Machine Water from Air + WHO Soap formula installation.png," A group of children in pink uniforms are gathered outside a building with green and orange walls. They are standing around a blue box with the word ""Soapy"" and a water droplet logo on it. An adult is interacting with the children, who appear to be engaged and attentive. Some children are looking towards the box, while others are looking at the adult. The scene suggests an educational or demonstration activity.","children pink, educational demonstration, uniforms gathered, looking box, word soapy"
Copy of VaxNow.jpg," A healthcare worker wearing a white coat and face mask is administering a vaccine to a seated woman. The woman is wearing a patterned dress and a face mask, with her sleeve rolled up to expose her arm. They are in a room with a window, and there are medical supplies and a laptop on the table nearby.","vaccine seated, healthcare worker, mask administering, woman wearing, white coat"
Copy of Factory-11 (2).jpg," A group of men stand in front of a large pile of black fabric bundles. The man in the foreground is wearing a blue shirt with a logo, and he has a serious expression. Another man beside him is wearing a plaid shirt. The background is filled with stacked fabric, suggesting a textile or garment setting. The lighting is natural, coming from windows above.","group men, shirt background, wearing plaid, man wearing, stand"
Copy of Majestic-31.jpg," A woman sits on a plastic chair in a room with colorful walls. She is facing slightly away from the camera, looking back and smiling. The room has a bed with a floral-patterned cover, a desk cluttered with papers, and a small television mounted on the wall. A large poster is displayed above the desk. The walls are painted in turquoise and peach, and a clock is visible above the television. A small potted plant is on the floor near the desk.","woman sits, plastic chair, displayed desk, room colorful, poster displayed"
06.jpg, A person with a backpack is standing on stone steps outside a brick building with a partially open blue door. They are handing an item to an elderly person sitting inside the doorway. The elderly person has white hair and is wearing a yellow garment. The building has a rustic appearance with visible bricks and a small window. There is some greenery and a pipe near the steps.,"doorway elderly, steps outside, standing stone, person backpack, yellow garment"
05.jpg," A man in a white shirt is sitting outdoors, having his blood pressure checked by another man wearing a blue and white plaid shirt and a face mask. The man taking the measurement is holding a stethoscope and a blood pressure cuff is wrapped around the seated man's arm. They are surrounded by greenery and a building is visible in the background.","blood pressure, man white, shirt sitting, stethoscope, building visible"
Copy of Copy of IMG_4032.jpg," A group of six women stands in front of a bright blue wall. They are wearing colorful traditional attire, including dresses with intricate patterns and scarves. The women are smiling and standing closely together, showcasing a variety of vibrant colors such as red, yellow, green, and orange in their clothing.","women stands, scarves women, blue wall, dresses intricate, group"
02.jpeg," A group of people are gathered outside on a sunny day. Two men are sitting on a low concrete step. One man, wearing a blue shirt and a white scarf around his neck, is holding some papers. The other man, wearing a gray shirt and glasses, is writing on a clipboard. There are some children in the foreground, watching the men. The setting appears to be a residential area with a paved street and buildings in the background.","gathered outside, men sitting, writing clipboard, sunny day, children"
Copy of Factory-34 (1).jpg," A woman is sitting at a sewing machine, focused on her work. She is wearing a dark shirt with a green sleeve and has long hair tied back. The background shows a busy environment with blurred figures and more sewing machines, suggesting a workshop or factory setting. The woman appears to be smiling slightly as she works.","sewing machine, woman sitting, focused work, appears smiling, wearing dark"
03.jpeg," A group of five women is sitting outside on a stone platform against a weathered, colorful wall. One woman in the foreground is wearing a mask, a patterned headscarf, and holding a notebook. The other women are dressed in vibrant traditional clothing, including saris in shades of yellow, red, and pink. They appear to be engaged in conversation. The setting is outdoors, with a door and some steps visible in the background.","group women, traditional clothing, sitting outside, stone platform, saris shades"
04.jpg," A woman in traditional attire sits on a stone platform outdoors, surrounded by a low stone wall and lush green vines. Another woman, wearing a mask and holding papers, stands nearby, engaging in conversation. The setting appears to be a rustic area with stone structures in the background.","woman traditional, sits stone, platform outdoors, conversation setting, wearing mask"
01.jpeg," Four women are sitting on a marble floor in front of a building. They are dressed in colorful traditional attire, including sarees and headscarves. One woman is holding a notebook and pen, while another has a blood pressure cuff on her arm. The setting appears to be a casual gathering or meeting.","women sitting, marble floor, blood pressure, building dressed, notebook pen"
Copy of IMG_4032.jpg," A group of six women stands in front of a bright blue wall. They are wearing colorful traditional attire, including dresses with patterns and vibrant scarves. The women are smiling and standing close together, showcasing a variety of colors such as red, yellow, green, and orange in their clothing.","women stands, dresses patterns, scarves women, blue wall, group"
